id,name,level,target,equipment,directions,type,image_path
0,Ab Wheel Rollout,Medium,Abs,"['AB roller', 'Dumbbell']","['Kneel on the workout surface and place the ab wheel in front of you.', 'Firmly grasp the ab roller with both hands and position it on the floor directly in front of you.', 'Engage your abs, so they slightly move inward. You can round your back a bit while tightening your abdominal muscles.', 'Roll forward by extending your arms. Your back will straighten a little, but your abs should remain tense. Your legs and hips will lower along with your torso.', 'In the stretched position, continue kneeling with your hands securely on the ab roller in front of or above your head.', 'To return from the stretched position, engage your abs and pull your torso back evenly. Your hips and the ab wheel should move backward together. Avoid using your hips to pull your body back.']",Body weight,ab_wheel_rollout.jpg
1,Abdominal Crunch,Easy,Abs,['Machine'],"['Sit down on the abdominal crunch machine.', 'Push your butt firmly into the seat, and make sure your lower back is also touching the rear pad (if present).', 'Position your feet on the lower support beams or tray, depending on the machine’s design, and place your hands on the handles.', 'Bend your upper body towards your knees, making sure your arms and legs don’t support your movement. The movement should come exclusively from your abdomen.', 'Move your upper body back to the starting position in a controlled manner.']",Machine,abdominal_crunch.jpg
2,Abdominal Twist,Medium,Abs,"['Dumbbell', 'Exercise without equipment']","['Sit on the floor with your legs in front of you. Your knees should be about level with your upper abdominal muscles. Make sure the soles of your feet touch the ground.', 'Lift the weight (if you’re using one) with both hands over your knees. If you’re not using a weight, extend your hands or cross them in front of your chest.', 'Pull your shoulder blades back, lift your chest, and lean back a bit. You’ll feel the tension in your core. However, don’t lean back too far. Keep your back straight — no hunching allowed.', 'Rotate your arms and upper body in one direction. The weight in your hands should move down slightly but never touch the ground at any point.', 'Upon completing the movement, rotate your upper body towards the other side. You may choose to do so directly or pause briefly in the middle to intentionally sustain tension in your core.']",Free weights,abdominal_twist.jpg
3,Arnold Press,Medium,Shoulder,"['Incline bench', 'Dumbbell']","['Set the back of the incline bench as steep as possible.', 'Sit on the bench and place the dumbbells on your knees. Your back presses against the backrest and your feet are firmly on the floor, so you have a stable sitting position. You should form a slight hollow back to relieve stress from the back.', 'Now lift the dumbbells in front of your torso. This works easier if you lift one knee at a time to get one dumbbell into position with momentum. This swinging motion is usually only necessary as your workout progresses when the weights become significantly heavier. To start, it’s best to choose a weight that you can get up without using your knees.', 'The dumbbells are now in front of your torso with your palms facing you.', 'Now push the weight up and extend your arms. As you do this, rotate your forearms 180 degrees. At the end of the movement, your palms face forward.', 'Do not fully extend your elbows, but keep them slightly bent (see chapter “Common Mistakes”).', 'Once at the top, return the dumbbells to the starting position in front of your torso (point 4). At the end of the movement, your palms face you again.']",Free weights,arnold_press.jpg
4,Assisted Pull-Ups,Easy,Back,['Machine'],"['Set the weight that will ease the load on your back. For example, if you choose 20 kg, you’ll effectively be 20 kg lighter because of the counterweight.', 'Step onto the footboards and grab the pull-up handles slightly wider than shoulder-width in an overhand grip (back of your hand facing you).', 'Place your knees on the pad provided. Start by placing one knee on the pad and pushing it down a bit, then place the second knee on the pad. Keep your hands securely on the handles at all times. Now you’re in the starting position on the pull-up machine.', 'Maintain body tension and pull yourself up. The counterweight can only support your pull-up if you stay tense. If the pull-up is too easy, step off the machine and reduce the weight. If you can’t complete a clean pull-up despite the counterweight, increase the weight.']",Machine,assisted_pull-ups.jpg
5,Back Extension,Medium,Back,['Hyperextension bench'],"['Stand on the bench’s footrest and hook your legs below. Use your hands to support yourself on the thigh cushion.', 'Adjust the height of the upper cushion so your hips are just above it. This allows you to efficiently bend your upper body forward over the cushion.', 'Lean your thighs against the upper cushion. They should be firmly on it.', 'Straighten your upper body in line with your legs. Don’t overstretch your back.', 'Cross your arms in front of your chest. You’re now in the starting position.', 'Bend your upper body forward over your hip, keeping your back straight. The movement comes from the hip.', 'Hold the position briefly and then straighten up again.']",Body weight,back_extension.jpg
6,Band Calf Raise,Easy,Calves,['Fitness bands'],"['Stand with an upright posture, slightly narrower than shoulder-width apart.', 'Place the fitness band in the middle of your forefoot. Firmly hold the two ends in your hands.', 'Depending on the length and resistance of the fitness band, hold the ends next to your hip or shoulder (or somewhere in between).', 'Straighten your back, with a slight arch. Gently pull your shoulder blades together. You’re now in the starting position.', 'Raise your heels and stand on your forefoot. The band remains securely fixed under your feet. Lift your body against the band’s resistance by extending your ankles. Keep your knees and back straight during the movement. Extend your ankles as far as possible without discomfort. Hold the position briefly, then lower your body back to the starting position.']",Body weight,band_calf_raise.jpg
7,Band Reverse Fly,Easy,Back,['Fitness bands'],"['Stand shoulder-width apart.', 'Place the band centrally under both feet.', 'Bend your upper body at a 45 to 90-degree angle forward. Form a slight hollow back and make sure to keep your back straight otherwise. Your arms should now be stretched forward or down (with the band ends in your hands).', 'Slightly bend your elbows. You’re now in the starting position.', 'Pull the band back by spreading your arms to the back. Keep the elbows at the same angle. Stop the movement before you have to squeeze your shoulder blades too much to continue.', 'Hold the position briefly and then move your arms back to the starting position slowly and controlled.']",Body weight,band_reverse_fly.jpg
8,Band Wrist Extension,Easy,Forearm,['Fitness bands'],"['Sit upright on a weight bench and grasp the fitness band in your preferred grip (see above).', 'Place your forearm on your thigh, with your wrist positioned directly beyond your knee.', 'Lower your wrist down.', 'Now secure the fitness band with your foot, or in another way. Make sure to secure the band so it doesn’t snap up during training. You’re now in the starting position.', 'Bend (in underhand grip) or extend (in overhand grip) your wrist. Hold the position at the end of the movement for a brief moment and then slowly and smoothly lower the band back down to the starting position.']",Free weights,band_wrist_extension.jpg
9,Banded Good Mornings,Hard,Back,['Fitness bands'],"['Stand upright, hip-width apart, and place the resistance band centered under your feet.', 'Squat down, raise the band above your head, and place it on the back of your neck. Now, when you stand back up, the band is placed around your neck and runs down the front of your body to your feet. Place your hands on the resistance band just below your shoulders.', 'Keep your back straight and form a slight hollow back. Don’t arch your back.', 'Bow by lowering your upper body forward with your back stretched out. Stick your butt out.', 'At the same time, bend your knees a little. Bend your knees only so far that your thighs aren’t parallel to the floor.', 'Try to bow forward until your upper body is parallel to the floor. Only go as far as you can without compromising your balance. As your training progresses, your range of motion will increase over time.', 'Straighten your upper body and extend your knees (remaining with a slight bend).']",Free weights,banded_good_mornings.jpg
10,Banded Mountain Climbers,Medium,Abs,['Fitness bands'],"['Stand hip-width apart and wrap the resistance band around both feet.', 'Now, get into the classic push-up position. Your hands should be about shoulder-width apart and pointing straight at the floor. Your arms are fully extended.', 'Next, lift your pelvis slightly so it no longer forms a straight line with your feet and upper body. This way, your upper body is parallel to the floor.', 'Now, pull one leg towards your arms, stretching the resistance band. The movement comes from your thigh – you don’t jump off with your ankle.', 'When your leg reaches the front point, move it back to the starting position. As your toes touch the ground, start the same movement with the second leg. Once you’re comfortable, you can increase the speed and start the movement of the second leg when the first leg is moving back, before the toes touch the ground.', 'Keep your head looking down throughout the exercise.']",Body weight,banded_mountain_climbers.jpg
